,Season,League,Basic_Type,MP
0,2014,NBA Playoffs,Small-ball,25.6408773979
1,2014,NBA Playoffs,Traditional,74.3591226021
2,2014,NBA Regular Season,Small-ball,18.9142318313
3,2014,NBA Regular Season,Traditional,81.0857681687
4,2015,NBA Playoffs,Small-ball,25.508998768
5,2015,NBA Playoffs,Traditional,74.491001232
6,2015,NBA Regular Season,Small-ball,19.9120252146
7,2015,NBA Regular Season,Traditional,80.0879747854
8,2016,NBA Playoffs,Small-ball,39.0284879474
9,2016,NBA Playoffs,Traditional,60.9715120526
10,2016,NBA Regular Season,Small-ball,25.025270035
11,2016,NBA Regular Season,Traditional,74.974729965
12,2017,NBA Playoffs,Small-ball,52.7770819875
13,2017,NBA Playoffs,Traditional,47.2229180125
14,2017,NBA Regular Season,Small-ball,37.6188905779
15,2017,NBA Regular Season,Traditional,62.3811094221
